sneakers_ref,img_url2,title,color,brand,img_url
AQ6252,https://zupport.de/media/image/bb/73/2f/_m2a3724_600x600.jpg,adidas ZX Flux ADV Verve W,Rot,adidas,https://zupport.de/media/image/f9/6c/9e/_m2a3724_1280x1280.jpg
AQ8810-201,https://zupport.de/media/image/e6/a3/e6/Nike-Air-Vapormax-Run-Utility-Olive-AQ8810-201-zupport-07_600x600.jpg,Nike Air Vapormax Run Utility Olive,"Schwarz, Silber, Olive",Nike,https://zupport.de/media/image/f1/25/6d/Nike-Air-Vapormax-Run-Utility-Olive-AQ8810-201-zupport-07_1280x1280.jpg
CQ2400,https://zupport.de/media/image/e1/0e/4e/adidas-NMD_R2-Utility-Black-CQ2400-zupport-06_600x600.jpg,adidas NMD_R2 Utility Black,Black/White,adidas,https://zupport.de/media/image/ef/38/80/adidas-NMD_R2-Utility-Black-CQ2400-zupport-06_1280x1280.jpg
AH9613-001,https://zupport.de/media/image/b6/36/93/Nike-SB-x-Anti-Hero-Dunk-High-QS-Brian-Anderson-AH9613-001-zupport-01_600x600.jpg,Nike SB x Anti Hero Dunk High QS Brian Anderson,Schwarz,NIKE SB,https://zupport.de/media/image/e9/42/a8/Nike-SB-x-Anti-Hero-Dunk-High-QS-Brian-Anderson-AH9613-001-zupport-01_1280x1280.jpg
BZ0641,https://zupport.de/media/image/2d/bf/d5/adidas-eqt-support-adv-winter-gretwo-originals-BZ0641-01_600x600.jpg,adidas EQT SUPPORT ADV WINTER grey,Grau,adidas,https://zupport.de/media/image/e2/c7/3a/adidas-eqt-support-adv-winter-gretwo-originals-BZ0641-01_1280x1280.jpg
AF6277,https://zupport.de/media/image/16/b4/c1/_M2A3511_600x600.jpg,adidas TUBULAR RUNNER W,"Lila, Weiss",adidas,https://zupport.de/media/image/e2/87/37/_M2A3511_1280x1280.jpg
938015-618,https://zupport.de/media/image/e4/58/3b/nike-sb-nike-shield-red-crush-938015618-1_600x600.jpg,NIKE SB Nike SB Shield Red Crush,Rot,NIKE SB,https://zupport.de/media/image/df/17/08/nike-sb-nike-shield-red-crush-938015618-1_1280x1280.jpg
S80110,https://zupport.de/media/image/da/d8/19/_m2a2291_600x600.jpg,adidas Tubular Nova PK,Black/White,adidas,https://zupport.de/media/image/d7/9d/ec/_m2a2291_1280x1280.jpg
BB5472,https://zupport.de/media/image/c8/53/42/_M2A2974-Kopie5971c109e94b5_600x600.jpg,adidas Originals Gazelle Vapour Pink,Pink,adidas,https://zupport.de/media/image/d4/78/a6/_M2A2974-Kopie5971c109e94b5_1280x1280.jpg
S74822,https://zupport.de/media/image/ba/65/d2/_m2a1879_600x600.jpg,adidas Tubular Nova,Black/White,adidas,https://zupport.de/media/image/d0/e9/6a/_m2a1879_1280x1280.jpg
AT6145-600,https://zupport.de/media/image/80/5e/5a/Nike-Air-Max-97-NRG-Midnight-Spruce-AT6145-600-zupport-01_600x600.jpg,Nike Air Max 97 NRG Midnight Spruce,"Schwarz, Rot, Blau, Green",Nike,https://zupport.de/media/image/c9/33/eb/Nike-Air-Max-97-NRG-Midnight-Spruce-AT6145-600-zupport-01_1280x1280.jpg
539041-60-82,https://zupport.de/media/image/ca/d0/f6/_M2A9109_600x600.jpg,New Balance NB Numeric Skate PJ Stratford 533,"Schwarz, Braun",New Balance Numeric,https://zupport.de/media/image/bb/2d/d6/_M2A9109_1280x1280.jpg
CQ1230,https://zupport.de/media/image/b8/04/e7/_M2A2128_600x600.jpg,adidas LUCAS PREMIERE PK Khaki,Khaki,adidas Skateboarding,https://zupport.de/media/image/b3/9a/32/_M2A2128_1280x1280.jpg
H705N-9090,https://zupport.de/media/image/d7/34/ae/_M2A964458c2bf24bcc18_600x600.jpg,Asics GEL-KAYANO TRAINER KNIT,Schwarz,Asics,https://zupport.de/media/image/b1/c2/e3/_M2A964458c2bf24bcc18_1280x1280.jpg
AJ2249-688,https://zupport.de/media/image/c9/8b/11/Nike-SB-ANTI-HERO-SBXAH-JERSEY-AJ2249-688-01_2_600x600.jpg,Nike SB x Anti Hero SBXAH Jersey,Rot,NIKE SB,https://zupport.de/media/image/a7/a6/98/Nike-SB-ANTI-HERO-SBXAH-JERSEY-AJ2249-688-01_2_1280x1280.jpg
BQ6166-401,https://zupport.de/media/image/63/c9/f4/Nike-React-Element-55-Midnight-Navy-BQ6166-401-01_600x600.jpg,Nike React Element 55 Midnight Navy,navy,Nike,https://zupport.de/media/image/96/f4/90/Nike-React-Element-55-Midnight-Navy-BQ6166-401-01_1280x1280.jpg
M19644,https://zupport.de/media/image/38/4c/2a/_M2A35845829e7933d1de_600x600.jpg,adidas Tubular Runner,"Petrol, Schwarz, Weiss",adidas,https://zupport.de/media/image/94/4f/8a/_M2A35845829e7933d1de_1280x1280.jpg
CI4664,https://zupport.de/media/image/b4/3b/ac/ADO_Suede_Liquid_SET_201704_600x600.png,adidas originals suede liquid,,adidas,https://zupport.de/media/image/90/1a/b9/ADO_Suede_Liquid_SET_201704_1280x1280.png
BB8539,https://zupport.de/media/image/65/a7/86/_M2A0435_600x600.jpg,adidas Skateboarding Lucas Premiere ADV Grey,"Rot, Grau, Schwarz, Weiss",adidas Skateboarding,https://zupport.de/media/image/8e/f5/16/_M2A0435_1280x1280.jpg
BY3934,https://zupport.de/media/image/6f/59/f3/_M2A4456_600x600.jpg,adidas Lucas Premiere Black-Gum,,adidas,https://zupport.de/media/image/8e/71/43/_M2A4456_1280x1280.jpg
AV4113-200,https://zupport.de/media/image/86/b2/e4/Nike-Carhartt-WIP-Air-Force-1-AV4113-200-zupport-01_600x600.jpg,Nike x Carhartt WIP Air Force 1,Ale Brown,Nike,https://zupport.de/media/image/8e/17/1a/Nike-Carhartt-WIP-Air-Force-1-AV4113-200-zupport-01_1280x1280.jpg
BY9839,https://zupport.de/media/image/c8/6d/7b/_M2A1329594b5bc4c6fe3_600x600.jpg,adidas Campus W,Beige,adidas,https://zupport.de/media/image/88/01/14/_M2A1329594b5bc4c6fe3_1280x1280.jpg
X000RWRR37,https://zupport.de/media/image/42/f9/84/adidas-Originals-EQT-RF-Black-Grey-BY9617-012Lxnf3kmAuqW4_600x600.jpg,adidas Originals EQT RF Black Grey,Schwarz,adidas,https://zupport.de/media/image/85/3e/a3/adidas-Originals-EQT-RF-Black-Grey-BY9617-012Lxnf3kmAuqW4_1280x1280.jpg
BB5827,https://zupport.de/media/image/04/85/13/_M2A0361_600x600.jpg,adidas Skateboarding SEELEY Premiere Classified,"Blau, Braun, Weiss",adidas Skateboarding,https://zupport.de/media/image/82/51/6f/_M2A0361_1280x1280.jpg
S75257,https://zupport.de/media/image/ff/9d/79/_m2a3709_600x600.jpg,adidas Tubular Defiant W Rita Ora,Black/White,adidas,https://zupport.de/media/image/77/08/6a/_m2a3709_1280x1280.jpg
BB8409,https://zupport.de/media/image/dc/17/1e/_M2A7398_600x600.jpg,adidas TUBULAR NOVA PRIMEKNIT GID,"Multi Color, Weiss",adidas,https://zupport.de/media/image/75/b0/5d/_M2A7398_1280x1280.jpg
354367-17,https://zupport.de/media/image/78/cb/48/Puma-Basket-Classic-White-354367-17-zupport-01_600x600.jpg,Puma Basket Classic White,Weiss,Puma,https://zupport.de/media/image/70/20/4f/Puma-Basket-Classic-White-354367-17-zupport-01_1280x1280.jpg
AR4473-001,https://zupport.de/media/image/da/09/bd/Nike-Air-Max-95-OG-MC-SP-R4473-001-zupport-01_600x600.jpg,Nike Air Max 95 OG MC SP,"Schwarz, Camo",Nike,https://zupport.de/media/image/70/1a/6c/Nike-Air-Max-95-OG-MC-SP-R4473-001-zupport-01_1280x1280.jpg
CI4666,https://zupport.de/media/image/7a/f7/93/ADO_Leather_Elixir_SET_201704_600x600.png,adidas originals leather elixir,,adidas,https://zupport.de/media/image/6f/8e/ca/ADO_Leather_Elixir_SET_201704_1280x1280.png
CI4670,https://zupport.de/media/image/c6/90/e7/ADO_Cleaning_Drops_SET_201704_600x600.png,adidas originals cleaning drops,,adidas,https://zupport.de/media/image/6d/c2/1e/ADO_Cleaning_Drops_SET_201704_1280x1280.png
BQ1669-300,https://zupport.de/media/image/ce/22/f1/nike-air-force-1-high-07-lv8-bq1669-300-zupport-01_600x600.jpg,Nike Air Force 1 High 07 LV8,"Schwarz, Camo",Nike,https://zupport.de/media/image/6b/df/b4/nike-air-force-1-high-07-lv8-bq1669-300-zupport-01_1280x1280.jpg
